ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
59105,15/01/2020,Wohnung,5,110,5150,1206,1206,Genève,Genf
59109,03/01/2020,Wohnung,1,24,780,1964,1964,Conthey,Wallis
59116,18/10/2019,Möbliertes Wohnobjekt,"5,5",140,3450,1096,1096,Villette (Lavaux),Waadt
59116,18/10/2019,Möbliertes Wohnobjekt,"5,5",140,3450,1096,1096,Villette (Lavaux),Waadt
59120,23/01/2020,Wohnung,"4,5",120,1990,1691,1691,Villarimboud,Freiburg
59131,23/12/2019,Wohnung,"3,5",66,1500,4414,4414,Füllinsdorf,Basel-Landschaft
59132,25/02/2020,Wohnung,"4,5",122,1850,4665,4665,Oftringen,Aargau
59132,25/02/2020,Wohnung,"4,5",122,1850,4665,4665,Oftringen,Aargau
59133,27/11/2019,Wohnung,"4,5",87,1900,4450,4450,Sissach,Basel-Landschaft
59133,27/11/2019,Wohnung,"4,5",87,1900,4450,4450,Sissach,Basel-Landschaft
59133,27/11/2019,Wohnung,"4,5",87,1900,4450,4450,Sissach,Basel-Landschaft
59133,27/11/2019,Wohnung,"4,5",87,1900,4450,4450,Sissach,Basel-Landschaft
59134,13/03/2020,Wohnung,"4,5",92,1820,4450,4450,Sissach,Basel-Landschaft
59134,13/03/2020,Wohnung,"4,5",92,1820,4450,4450,Sissach,Basel-Landschaft
59134,13/03/2020,Wohnung,"4,5",92,1820,4450,4450,Sissach,Basel-Landschaft
59134,13/03/2020,Wohnung,"4,5",92,1820,4450,4450,Sissach,Basel-Landschaft
59135,22/03/2020,Wohnung,"4,5",119,2190,1630,1630,Bulle,Freiburg
59135,22/03/2020,Wohnung,"4,5",119,2190,1630,1630,Bulle,Freiburg
59139,07/11/2019,Möbliertes Wohnobjekt,2,55,2600,1110,1110,Morges,Waadt
59142,05/03/2020,Wohnung,"4,5",101,1860,4222,4222,Zwingen,Basel-Landschaft
59143,23/12/2019,Wohnung,"3,5",92,1890,5443,5443,Niederrohrdorf,Aargau
59144,03/02/2020,Wohnung,"3,5",92,1890,5243,5243,Mülligen,Aargau
59155,17/10/2019,Wohnung,"4,5",70,1130,6833,6833,Vacallo,Tessin
59157,17/10/2019,Wohnung,"4,5",70,1230,6833,6833,Vacallo,Tessin
59159,17/10/2019,Wohnung,3,88,1283,6912,6912,Pazzallo,Tessin
59160,30/10/2019,Wohnung,"4,5",109,2020,6014,6014,Luzern,Luzern
59160,30/10/2019,Wohnung,"4,5",109,2020,6014,6014,Luzern,Luzern
59162,22/01/2020,Wohnung,"3,5",81,1450,5413,5413,Birmenstorf AG,Aargau
59165,25/02/2020,Wohnung,"4,5",116,1935,4665,4665,Oftringen,Aargau
59165,25/02/2020,Wohnung,"4,5",116,1935,4665,4665,Oftringen,Aargau
59166,25/02/2020,Wohnung,"4,5",124,1960,4665,4665,Oftringen,Aargau
59166,25/02/2020,Wohnung,"4,5",124,1960,4665,4665,Oftringen,Aargau
59167,18/03/2020,Wohnung,3,70,1560,6004,6004,Luzern,Luzern
59167,18/03/2020,Wohnung,3,70,1560,6004,6004,Luzern,Luzern
59169,07/11/2019,Möbliertes Wohnobjekt,"3,5",92,2890,8834,8834,Schindellegi,Schwyz
59169,07/11/2019,Möbliertes Wohnobjekt,"3,5",92,2890,8834,8834,Schindellegi,Schwyz
59179,23/12/2019,Dachwohnung,"4,5",126,2220,5425,5425,Schneisingen,Aargau
59183,28/02/2020,Wohnung,"4,5",103,2467,8706,8706,Meilen,Zürich
59185,11/02/2020,Wohnung,3,60,1240,5033,5033,Buchs AG,Aargau
59200,05/03/2020,Wohnung,"2,5",95,1380,1950,1950,Sion,Wallis
59200,05/03/2020,Wohnung,"2,5",95,1380,1950,1950,Sion,Wallis
59200,05/03/2020,Wohnung,"2,5",95,1380,1950,1950,Sion,Wallis
59201,09/03/2020,Wohnung,"4,5",94,2210,1004,1004,Lausanne,Waadt
59202,09/03/2020,Wohnung,3,70,1440,4402,4402,Frenkendorf,Basel-Landschaft
59202,09/03/2020,Wohnung,3,70,1440,4402,4402,Frenkendorf,Basel-Landschaft
59207,16/03/2020,Wohnung,"4,5",127,2590,8620,8620,Wetzikon ZH,Zürich
59209,24/02/2020,Wohnung,"4,5",98,2605,8102,8102,Oberengstringen,Zürich
59214,10/02/2020,Wohnung,"2,5",44,990,3550,3550,Langnau i. E.,Bern
59214,10/02/2020,Wohnung,"2,5",44,990,3550,3550,Langnau i. E.,Bern
59214,10/02/2020,Wohnung,"2,5",44,990,3550,3550,Langnau i. E.,Bern
59215,11/12/2019,Wohnung,"3,5",70,1450,6618,6618,Arcegno,Tessin
59215,11/12/2019,Wohnung,"3,5",70,1450,6618,6618,Arcegno,Tessin
59218,17/10/2019,Wohnung,"4,5",107,1690,4600,4600,Olten,Aargau
59218,17/10/2019,Wohnung,"4,5",107,1690,4600,4600,Olten,Solothurn
59218,17/10/2019,Wohnung,"4,5",107,1690,4600,4600,Olten,Solothurn
59218,17/10/2019,Wohnung,"4,5",107,1690,4600,4600,Olten,Solothurn
59220,19/02/2020,Wohnung,"3,5",82,1395,6020,6020,Emmenbrücke,Luzern
59220,19/02/2020,Wohnung,"3,5",82,1395,6020,6020,Emmenbrücke,Luzern
59220,19/02/2020,Wohnung,"3,5",82,1395,6020,6020,Emmenbrücke,Luzern
59221,19/03/2020,Wohnung,5,81,1510,9100,9100,Herisau,St. Gallen
59221,19/03/2020,Wohnung,5,81,1510,9100,9100,Herisau,Appenzell Ausserrhoden
59221,19/03/2020,Wohnung,5,81,1510,9100,9100,Herisau,Appenzell Ausserrhoden
59221,19/03/2020,Wohnung,5,81,1510,9100,9100,Herisau,Appenzell Ausserrhoden
59222,14/01/2020,Wohnung,2,54,1440,1700,1700,Fribourg,Freiburg
59222,14/01/2020,Wohnung,2,54,1440,1700,1700,Fribourg,Freiburg
59222,14/01/2020,Wohnung,2,54,1440,1700,1700,Fribourg,Freiburg
59224,03/03/2020,Wohnung,3,66,1181,2052,2052,Fontainemelon,Neuchâtel
59225,03/03/2020,Wohnung,3,69,1066,2052,2052,Fontainemelon,Neuchâtel
59226,06/02/2020,Wohnung,"3,5",70,1190,2552,2552,Orpund,Bern
59226,06/02/2020,Wohnung,"3,5",70,1190,2552,2552,Orpund,Bern
59227,04/12/2019,Wohnung,4,69,1340,2544,2544,Bettlach,Solothurn
