,PLZ,Kanton
1745,1748,Freiburg
1746,1749,Freiburg
1749,1691,Freiburg
1750,1669,Freiburg
1751,1643,Freiburg
1752,1644,Freiburg
1753,1645,Freiburg
1754,1652,Freiburg
1755,1636,Freiburg
1756,1653,Freiburg
1757,1630,Freiburg
1758,1635,Freiburg
1760,1646,Freiburg
1761,1647,Freiburg
1762,1651,Freiburg
1765,1666,Freiburg
1768,1661,Freiburg
1769,1663,Freiburg
1770,1634,Freiburg
1771,1648,Freiburg
1772,1656,Freiburg
1773,1716,Freiburg
1774,1633,Freiburg
1775,1638,Freiburg
1778,1649,Freiburg
1779,1628,Freiburg
1780,1632,Freiburg
1782,1733,Freiburg
1783,1625,Freiburg
1784,1626,Freiburg
1785,1642,Freiburg
1786,1627,Freiburg
1789,1665,Freiburg
1791,1667,Freiburg
1792,1637,Freiburg
1793,1654,Freiburg
1795,1725,Freiburg
1796,1732,Freiburg
1797,1742,Freiburg
1798,1745,Freiburg
1799,1754,Freiburg
1800,1720,Freiburg
1801,1782,Freiburg
1802,1744,Freiburg
1804,1753,Freiburg
1805,1747,Freiburg
1806,1741,Freiburg
1807,1731,Freiburg
1808,1724,Freiburg
1809,1700,Freiburg
1810,1722,Freiburg
1811,1762,Freiburg
1812,1763,Freiburg
1814,1723,Freiburg
1817,1740,Freiburg
1818,1757,Freiburg
1822,1746,Freiburg
1828,1752,Freiburg
1831,1730,Freiburg
1833,1756,Freiburg
1835,1695,Freiburg
1836,1696,Freiburg
1837,1726,Freiburg
1838,1727,Freiburg
1839,1728,Freiburg
1840,1796,Freiburg
1841,3280,Freiburg
1842,1583,Freiburg
1843,1783,Freiburg
1844,1784,Freiburg
1845,1791,Freiburg
1846,1795,Freiburg
1847,3212,Freiburg
1848,1785,Freiburg
1849,3284,Freiburg
1850,3285,Freiburg
1851,3215,Freiburg
1853,1792,Freiburg
1858,3213,Freiburg
1863,1721,Freiburg
1864,3286,Freiburg
1865,1793,Freiburg
1866,1794,Freiburg
1872,3216,Freiburg
1873,3214,Freiburg
1874,1786,Freiburg
1875,1787,Freiburg
1876,1788,Freiburg
1877,1789,Freiburg
1878,1712,Freiburg
1879,1713,Freiburg
1880,1715,Freiburg
1881,1717,Freiburg
1882,1719,Freiburg
1884,3186,Freiburg
1885,1735,Freiburg
1886,3178,Freiburg
1887,3184,Freiburg
1888,3185,Freiburg
1889,1714,Freiburg
1893,1737,Freiburg
1894,1718,Freiburg
1899,3182,Freiburg
1902,1734,Freiburg
1903,1736,Freiburg
1916,3175,Freiburg
1920,1612,Freiburg
1921,1616,Freiburg
1922,1617,Freiburg
1923,1808,Freiburg
1924,1615,Freiburg
1925,1618,Freiburg
1926,1619,Freiburg
1927,1614,Freiburg
1930,1609,Freiburg
1931,1623,Freiburg
1932,1624,Freiburg
1934,1699,Freiburg
1935,1611,Freiburg
1937,4622,Solothurn
1938,4624,Solothurn
1939,4703,Solothurn
1940,4623,Solothurn
1941,4626,Solothurn
1942,4625,Solothurn
1943,4718,Solothurn
1944,4702,Solothurn
1945,4710,Solothurn
1946,4628,Solothurn
1948,4714,Solothurn
1949,4717,Solothurn
1950,4719,Solothurn
1954,4715,Solothurn
1955,4438,Solothurn
1958,4712,Solothurn
1960,4713,Solothurn
1962,4229,Solothurn
1963,4418,Solothurn
1967,4585,Solothurn
1968,4571,Solothurn
1969,4584,Solothurn
1971,3307,Solothurn
1972,4588,Solothurn
1973,3253,Solothurn
1975,4574,Solothurn
1976,4576,Solothurn
1977,4577,Solothurn
1978,4578,Solothurn
1979,4579,Solothurn
1980,4581,Solothurn
